ID,Capture date,Site type,Flyway,Site ID,Sex,Forewing length (mm),Infection status (0 or 1),Reproductive status (0 or 1),Migratory status,Stable isotope H value,Stable isotope C value,Total cardenolide concentration
575,10/12/2014,seasonal stopover,central,3,F,51.39,0,NA,migrant,-128.48,-28.1,0.16246
685,10/17/14-10/20/14,seasonal stopover,central,2,F,51.28,0,0,migrant,-135.25,-26.6,0.49277
686,10/17/14-10/20/14,seasonal stopover,central,2,F,52.61,0,0,migrant,-93.95,-30.21,0.05868
687,10/17/14-10/20/14,seasonal stopover,central,2,F,50.99,0,0,migrant,-106.76,-26.94,0.16337
688,10/17/14-10/20/14,seasonal stopover,central,2,F,53.35,0,0,migrant,-125.22,-27.99,0.27559
689,10/17/14-10/20/14,seasonal stopover,central,2,M,53.98,0,0,migrant,-120.75,-27.67,1.155
690,10/17/14-10/20/14,seasonal stopover,central,2,M,52.32,0,0,migrant,-128.11,-27.93,0.61109
691,10/17/14-10/20/14,seasonal stopover,central,2,M,53.39,0,1,migrant,-119.37,-29.32,0
692,10/17/14-10/20/14,seasonal stopover,central,2,M,53.13,0,0,migrant,-134.32,-26.87,0
693,10/17/14-10/20/14,seasonal stopover,central,2,F,50.24,0,0,migrant,-113.68,-27.28,0.54812
694,10/17/14-10/20/14,seasonal stopover,central,2,M,51.09,0,0,migrant,-98.19,-28.24,0
695,10/17/14-10/20/14,seasonal stopover,central,2,F,54.12,0,0,migrant,-126.03,-27.84,0.15743
696,10/17/14-10/20/14,seasonal stopover,central,2,M,53.58,0,0,migrant,-119.99,-27.18,0
697,10/17/14-10/20/14,seasonal stopover,central,2,M,56.94,0,0,migrant,-132.27,-27.79,0
698,10/17/14-10/20/14,seasonal stopover,central,2,M,51.5,0,0,migrant,-124.88,-26.45,0
699,10/17/14-10/20/14,seasonal stopover,central,2,M,53.98,0,0,migrant,-147.76,-26.64,0.64729
700,10/17/14-10/20/14,seasonal stopover,central,2,F,51.67,0,0,migrant,-110.5,-28.22,0
701,10/17/14-10/20/14,seasonal stopover,central,2,F,52.91,0,0,migrant,-137.04,-27.3,0.3604
702,10/17/14-10/20/14,seasonal stopover,central,2,M,53.83,0,0,migrant,-128.16,-29.1,0
703,10/17/14-10/20/14,seasonal stopover,central,2,M,47.71,0,0,migrant,-101.4,-29.96,0.14771
704,10/17/14-10/20/14,seasonal stopover,central,2,M,50.38,0,0,migrant,-114.49,-28.79,0.20348
705,10/17/14-10/20/14,seasonal stopover,central,2,F,52.13,0,0,migrant,-123.17,-27.86,0.09119
706,10/17/14-10/20/14,seasonal stopover,central,2,M,55.1,0,0,migrant,-146.6,-29.19,0
707,10/17/14-10/20/14,seasonal stopover,central,2,M,49.31,0,0,migrant,-127.8,-27.44,0.57386
708,10/17/14-10/20/14,seasonal stopover,central,2,M,55.54,0,0,migrant,-126.6,-26.49,0.22928
709,10/17/14-10/20/14,seasonal stopover,central,2,M,50.04,0,0,migrant,-128.78,-27.14,0
710,10/17/14-10/20/14,seasonal stopover,central,2,M,52.02,0,0,migrant,-124.6,-28.88,0.44125
711,10/17/14-10/20/14,seasonal stopover,central,2,M,52.08,0,0,NA,NA,-28.23,0
712,10/17/14-10/20/14,seasonal stopover,central,2,M,49.31,0,0,migrant,-113.4,-32.37,0.24058
730,10/28/2014,year-round breeding,coastal,6,M,53.17,0,0,migrant,-119.67,-28.54,0.19335
731,10/17/2014,year-round breeding,coastal,6,M,52.38,1,1,resident,-92.71,-28.54,1.15152
732,10/23/2014,year-round breeding,coastal,6,M,51.44,1,1,migrant,-88.82,-27.46,0.61371
733,10/21/2014,year-round breeding,coastal,6,M,51.06,1,1,resident,-88.37,-28.21,1.15871
734,10/28/2014,year-round breeding,coastal,6,M,53.04,0,NA,migrant,-119.57,-26.38,0.25788
735,10/28/2014,year-round breeding,coastal,6,F,50.99,1,1,resident,-98.66,-28.07,2.75813
736,10/17/2014,year-round breeding,coastal,6,M,50.11,1,0,unclassifiable,-96.25,-29.45,0.44279
